problem,method,conv_bench,conv_cutest,delta_pp,flag
A01,BFGS_Armijo,1.0,,,MISSING
A01,BFGS_Wolfe,1.0,,,MISSING
A01,Cauchy_Point,1.0,,,MISSING
A01,Dogleg,1.0,,,MISSING
A01,Newton_BT,1.0,,,MISSING
A01,Steihaug_CG,1.0,,,MISSING
A02,BFGS_Armijo,0.6,,,MISSING
A02,BFGS_Wolfe,1.0,,,MISSING
A02,Cauchy_Point,0.0,,,MISSING
A02,Dogleg,1.0,,,MISSING
A02,Newton_BT,1.0,,,MISSING
A02,Steihaug_CG,1.0,,,MISSING
A03,BFGS_Armijo,0.8,,,MISSING
A03,BFGS_Wolfe,0.4,,,MISSING
A03,Cauchy_Point,0.0,,,MISSING
A03,Dogleg,1.0,,,MISSING
A03,Newton_BT,1.0,,,MISSING
A03,Steihaug_CG,0.4,,,MISSING
A04,BFGS_Armijo,0.6,,,MISSING
A04,BFGS_Wolfe,1.0,,,MISSING
A04,Cauchy_Point,0.0,,,MISSING
A04,Dogleg,1.0,,,MISSING
A04,Newton_BT,1.0,,,MISSING
A04,Steihaug_CG,1.0,,,MISSING
A05,BFGS_Armijo,0.2,,,MISSING
A05,BFGS_Wolfe,0.2,,,MISSING
A05,Cauchy_Point,0.0,,,MISSING
A05,Dogleg,1.0,,,MISSING
A05,Newton_BT,1.0,,,MISSING
A05,Steihaug_CG,0.8,,,MISSING
A06,BFGS_Armijo,1.0,0.0,-100.0,CRITICAL
A06,BFGS_Wolfe,1.0,0.0,-100.0,CRITICAL
A06,Cauchy_Point,0.0,0.0,0.0,OK
A06,Dogleg,0.0,0.0,0.0,OK
A06,Newton_BT,1.0,0.0,-100.0,CRITICAL
A06,Steihaug_CG,1.0,0.0,-100.0,CRITICAL
A07,BFGS_Armijo,1.0,,,MISSING
A07,BFGS_Wolfe,1.0,,,MISSING
A07,Cauchy_Point,0.0,,,MISSING
A07,Dogleg,1.0,,,MISSING
A07,Newton_BT,1.0,,,MISSING
A07,Steihaug_CG,0.8,,,MISSING
A08,BFGS_Armijo,1.0,1.0,0.0,OK
A08,BFGS_Wolfe,1.0,1.0,0.0,OK
A08,Cauchy_Point,1.0,1.0,0.0,OK
A08,Dogleg,1.0,1.0,0.0,OK
A08,Newton_BT,1.0,1.0,0.0,OK
A08,Steihaug_CG,1.0,1.0,0.0,OK
A09,BFGS_Armijo,0.2,,,MISSING
A09,BFGS_Wolfe,0.6,,,MISSING
A09,Cauchy_Point,0.0,,,MISSING
A09,Dogleg,1.0,,,MISSING
A09,Newton_BT,1.0,,,MISSING
A09,Steihaug_CG,1.0,,,MISSING
A10,BFGS_Armijo,0.6,,,MISSING
A10,BFGS_Wolfe,0.6,,,MISSING
A10,Cauchy_Point,0.2,,,MISSING
A10,Dogleg,1.0,,,MISSING
A10,Newton_BT,1.0,,,MISSING
A10,Steihaug_CG,0.8,,,MISSING
A11,BFGS_Armijo,1.0,1.0,0.0,OK
A11,BFGS_Wolfe,1.0,1.0,0.0,OK
A11,Cauchy_Point,0.0,0.0,0.0,OK
A11,Dogleg,1.0,1.0,0.0,OK
A11,Newton_BT,1.0,1.0,0.0,OK
A11,Steihaug_CG,1.0,1.0,0.0,OK
A12,BFGS_Armijo,0.6,,,MISSING
A12,BFGS_Wolfe,0.6,,,MISSING
A12,Cauchy_Point,0.0,,,MISSING
A12,Dogleg,0.4,,,MISSING
A12,Newton_BT,0.6,,,MISSING
A12,Steihaug_CG,0.6,,,MISSING
A13,BFGS_Armijo,1.0,,,MISSING
A13,BFGS_Wolfe,1.0,,,MISSING
A13,Cauchy_Point,0.0,,,MISSING
A13,Dogleg,1.0,,,MISSING
A13,Newton_BT,1.0,,,MISSING
A13,Steihaug_CG,1.0,,,MISSING
A14,BFGS_Armijo,0.6,,,MISSING
A14,BFGS_Wolfe,0.6,,,MISSING
A14,Cauchy_Point,0.2,,,MISSING
A14,Dogleg,1.0,,,MISSING
A14,Newton_BT,1.0,,,MISSING
A14,Steihaug_CG,1.0,,,MISSING
A15,BFGS_Armijo,1.0,,,MISSING
A15,BFGS_Wolfe,0.6,,,MISSING
A15,Cauchy_Point,0.2,,,MISSING
A15,Dogleg,1.0,,,MISSING
A15,Newton_BT,1.0,,,MISSING
A15,Steihaug_CG,1.0,,,MISSING
B10_Schwefel,BFGS_Armijo,1.0,,,MISSING
B10_Schwefel,BFGS_Wolfe,1.0,,,MISSING
B10_Schwefel,Cauchy_Point,0.8,,,MISSING
B10_Schwefel,Dogleg,0.8,,,MISSING
B10_Schwefel,Newton_BT,0.8,,,MISSING
B10_Schwefel,Steihaug_CG,0.8,,,MISSING
B11_DixonPrice,BFGS_Armijo,0.6,,,MISSING
B11_DixonPrice,BFGS_Wolfe,0.6,,,MISSING
B11_DixonPrice,Cauchy_Point,0.2,,,MISSING
B11_DixonPrice,Dogleg,1.0,,,MISSING
B11_DixonPrice,Newton_BT,1.0,,,MISSING
B11_DixonPrice,Steihaug_CG,1.0,,,MISSING
B12_Zakharov,BFGS_Armijo,0.6,,,MISSING
B12_Zakharov,BFGS_Wolfe,0.6,,,MISSING
B12_Zakharov,Cauchy_Point,0.2,,,MISSING
B12_Zakharov,Dogleg,0.8,,,MISSING
B12_Zakharov,Newton_BT,1.0,,,MISSING
B12_Zakharov,Steihaug_CG,0.6,,,MISSING
B1_Rosenbrock,BFGS_Armijo,0.6,,,MISSING
B1_Rosenbrock,BFGS_Wolfe,0.6,,,MISSING
B1_Rosenbrock,Cauchy_Point,0.0,,,MISSING
B1_Rosenbrock,Dogleg,0.4,,,MISSING
B1_Rosenbrock,Newton_BT,0.8,,,MISSING
B1_Rosenbrock,Steihaug_CG,0.6,,,MISSING
B2_Rastrigin,BFGS_Armijo,1.0,,,MISSING
B2_Rastrigin,BFGS_Wolfe,1.0,,,MISSING
B2_Rastrigin,Cauchy_Point,1.0,,,MISSING
B2_Rastrigin,Dogleg,1.0,,,MISSING
B2_Rastrigin,Newton_BT,1.0,,,MISSING
B2_Rastrigin,Steihaug_CG,1.0,,,MISSING
B3_Ackley,BFGS_Armijo,1.0,,,MISSING
B3_Ackley,BFGS_Wolfe,1.0,,,MISSING
B3_Ackley,Cauchy_Point,1.0,,,MISSING
B3_Ackley,Dogleg,1.0,,,MISSING
B3_Ackley,Newton_BT,1.0,,,MISSING
B3_Ackley,Steihaug_CG,1.0,,,MISSING
B4_StyblinskiTang,BFGS_Armijo,1.0,,,MISSING
B4_StyblinskiTang,BFGS_Wolfe,1.0,,,MISSING
B4_StyblinskiTang,Cauchy_Point,0.8,,,MISSING
B4_StyblinskiTang,Dogleg,0.8,,,MISSING
B4_StyblinskiTang,Newton_BT,1.0,,,MISSING
B4_StyblinskiTang,Steihaug_CG,0.8,,,MISSING
B5_Griewank,BFGS_Armijo,1.0,,,MISSING
B5_Griewank,BFGS_Wolfe,0.0,,,MISSING
B5_Griewank,Cauchy_Point,0.8,,,MISSING
B5_Griewank,Dogleg,1.0,,,MISSING
B5_Griewank,Newton_BT,1.0,,,MISSING
B5_Griewank,Steihaug_CG,1.0,,,MISSING
B6_Broydn3D,BFGS_Armijo,0.6,1.0,40.0,CRITICAL
B6_Broydn3D,BFGS_Wolfe,0.6,1.0,40.0,CRITICAL
B6_Broydn3D,Cauchy_Point,1.0,0.0,-100.0,CRITICAL
B6_Broydn3D,Dogleg,1.0,0.0,-100.0,CRITICAL
B6_Broydn3D,Newton_BT,1.0,0.0,-100.0,CRITICAL
B6_Broydn3D,Steihaug_CG,1.0,0.0,-100.0,CRITICAL
B7_BryBnd,BFGS_Armijo,0.6,1.0,40.0,CRITICAL
B7_BryBnd,BFGS_Wolfe,0.4,1.0,60.0,CRITICAL
B7_BryBnd,Cauchy_Point,1.0,0.2,-80.0,CRITICAL
B7_BryBnd,Dogleg,1.0,0.8,-20.0,CRITICAL
B7_BryBnd,Newton_BT,1.0,1.0,0.0,OK
B7_BryBnd,Steihaug_CG,1.0,1.0,0.0,OK
B8_ChainWoo,BFGS_Armijo,0.4,0.0,-40.0,CRITICAL
B8_ChainWoo,BFGS_Wolfe,0.8,0.0,-80.0,CRITICAL
B8_ChainWoo,Cauchy_Point,0.0,0.0,0.0,OK
B8_ChainWoo,Dogleg,0.2,0.0,-20.0,CRITICAL
B8_ChainWoo,Newton_BT,1.0,0.0,-100.0,CRITICAL
B8_ChainWoo,Steihaug_CG,1.0,0.0,-100.0,CRITICAL
C01,BFGS_Armijo,0.0,,,MISSING
C01,BFGS_Wolfe,0.0,,,MISSING
C01,Cauchy_Point,0.0,,,MISSING
C01,Dogleg,0.0,,,MISSING
C01,Newton_BT,0.0,,,MISSING
C01,Steihaug_CG,0.0,,,MISSING
C02,BFGS_Armijo,1.0,,,MISSING
C02,BFGS_Wolfe,1.0,,,MISSING
C02,Cauchy_Point,1.0,,,MISSING
C02,Dogleg,1.0,,,MISSING
C02,Newton_BT,1.0,,,MISSING
C02,Steihaug_CG,1.0,,,MISSING
C03,BFGS_Armijo,0.2,,,MISSING
C03,BFGS_Wolfe,0.2,,,MISSING
C03,Cauchy_Point,1.0,,,MISSING
C03,Dogleg,1.0,,,MISSING
C03,Newton_BT,1.0,,,MISSING
C03,Steihaug_CG,1.0,,,MISSING
C04,BFGS_Armijo,1.0,,,MISSING
C04,BFGS_Wolfe,0.0,,,MISSING
C04,Cauchy_Point,0.0,,,MISSING
C04,Dogleg,0.0,,,MISSING
C04,Newton_BT,1.0,,,MISSING
C04,Steihaug_CG,1.0,,,MISSING
C05,BFGS_Armijo,1.0,,,MISSING
C05,BFGS_Wolfe,1.0,,,MISSING
C05,Cauchy_Point,1.0,,,MISSING
C05,Dogleg,1.0,,,MISSING
C05,Newton_BT,1.0,,,MISSING
C05,Steihaug_CG,1.0,,,MISSING
C06,BFGS_Armijo,0.8,,,MISSING
C06,BFGS_Wolfe,0.0,,,MISSING
C06,Cauchy_Point,0.8,,,MISSING
C06,Dogleg,1.0,,,MISSING
C06,Newton_BT,1.0,,,MISSING
C06,Steihaug_CG,0.8,,,MISSING
C07,BFGS_Armijo,1.0,,,MISSING
C07,BFGS_Wolfe,0.6,,,MISSING
C07,Cauchy_Point,1.0,,,MISSING
C07,Dogleg,1.0,,,MISSING
C07,Newton_BT,1.0,,,MISSING
C07,Steihaug_CG,1.0,,,MISSING
C08,BFGS_Armijo,0.0,,,MISSING
C08,BFGS_Wolfe,0.0,,,MISSING
C08,Cauchy_Point,0.0,,,MISSING
C08,Dogleg,0.0,,,MISSING
C08,Newton_BT,0.0,,,MISSING
C08,Steihaug_CG,0.0,,,MISSING
C09,BFGS_Armijo,0.0,,,MISSING
C09,BFGS_Wolfe,0.0,,,MISSING
C09,Cauchy_Point,0.0,,,MISSING
C09,Dogleg,0.0,,,MISSING
C09,Newton_BT,0.0,,,MISSING
C09,Steihaug_CG,0.0,,,MISSING
C10,BFGS_Armijo,0.0,,,MISSING
C10,BFGS_Wolfe,0.0,,,MISSING
C10,Cauchy_Point,0.0,,,MISSING
C10,Dogleg,0.0,,,MISSING
C10,Newton_BT,0.0,,,MISSING
C10,Steihaug_CG,0.0,,,MISSING
